journey_id,touchpoints,n_touches,converted,revenue,journey_days,first_channel,last_channel
30,"[np.str_('Programmatic Display'), np.str_('Affiliate'), np.str_('Google Search')]",3,True,1151.77,14,Programmatic Display,Google Search
31,"[np.str_('YouTube'), np.str_('Google Search'), np.str_('Programmatic Display'), np.str_('Affiliate')]",4,False,0.0,1,YouTube,Affiliate
32,[np.str_('Google Search')],1,False,0.0,3,Google Search,Google Search
33,"[np.str_('Programmatic Display'), np.str_('Meta Ads')]",2,False,0.0,14,Programmatic Display,Meta Ads
34,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Google Search')]",3,False,0.0,3,Meta Ads,Google Search
35,[np.str_('YouTube')],1,False,0.0,0,YouTube,YouTube
36,[np.str_('Meta Ads')],1,False,0.0,7,Meta Ads,Meta Ads
37,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,True,2234.56,3,Meta Ads,Google Search
38,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Affiliate')]",4,True,1506.33,30,Meta Ads,Affiliate
39,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,False,0.0,3,Google Search,Meta Ads
40,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Meta Ads')]",3,True,975.95,3,Programmatic Display,Meta Ads
41,[np.str_('Affiliate')],1,False,0.0,14,Affiliate,Affiliate
42,"[np.str_('YouTube'), np.str_('YouTube')]",2,False,0.0,30,YouTube,YouTube
43,"[np.str_('Google Search'), np.str_('Meta Ads'), np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Google Search')]",5,True,2305.46,14,Google Search,Google Search
44,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,False,0.0,0,Meta Ads,Affiliate
45,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,False,0.0,7,Google Search,Meta Ads
46,"[np.str_('Programmatic Display'), np.str_('Meta Ads')]",2,False,0.0,14,Programmatic Display,Meta Ads
47,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Meta Ads')]",4,False,0.0,7,Programmatic Display,Meta Ads
48,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Affiliate')]",4,True,1973.48,3,Programmatic Display,Affiliate
49,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,True,2374.29,1,Meta Ads,Google Search
50,[np.str_('Programmatic Display')],1,False,0.0,1,Programmatic Display,Programmatic Display
51,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,False,0.0,3,YouTube,Affiliate
52,"[np.str_('Affiliate'), np.str_('YouTube'), np.str_('Google Search')]",3,False,0.0,1,Affiliate,Google Search
53,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,7,YouTube,Google Search
54,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search')]",3,True,2011.07,7,Programmatic Display,Google Search
55,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Meta Ads')]",3,False,0.0,3,YouTube,Meta Ads
56,"[np.str_('YouTube'), np.str_('Affiliate')]",2,False,0.0,0,YouTube,Affiliate
57,[np.str_('YouTube')],1,True,2254.28,7,YouTube,YouTube
58,"[np.str_('YouTube'), np.str_('Affiliate')]",2,False,0.0,1,YouTube,Affiliate
59,"[np.str_('Programmatic Display'), np.str_('Affiliate')]",2,False,0.0,0,Programmatic Display,Affiliate
60,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,False,0.0,7,Meta Ads,Affiliate
61,[np.str_('YouTube')],1,False,0.0,0,YouTube,YouTube
62,"[np.str_('Affiliate'), np.str_('Google Search'), np.str_('Affiliate')]",3,False,0.0,3,Affiliate,Affiliate
63,"[np.str_('Affiliate'), np.str_('YouTube'), np.str_('Programmatic Display')]",3,False,0.0,1,Affiliate,Programmatic Display
64,[np.str_('YouTube')],1,True,960.55,7,YouTube,YouTube
65,[np.str_('Programmatic Display')],1,False,0.0,0,Programmatic Display,Programmatic Display
66,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Affiliate')]",4,False,0.0,7,Programmatic Display,Affiliate
67,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Meta Ads')]",4,False,0.0,3,Programmatic Display,Meta Ads
68,"[np.str_('Google Search'), np.str_('Google Search')]",2,False,0.0,14,Google Search,Google Search
69,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,True,2521.09,3,Google Search,Meta Ads
70,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Google Search')]",4,False,0.0,0,Programmatic Display,Google Search
71,"[np.str_('Affiliate'), np.str_('Programmatic Display')]",2,False,0.0,3,Affiliate,Programmatic Display
72,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,False,0.0,7,Programmatic Display,Google Search
73,"[np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,True,2011.67,3,Google Search,Affiliate
74,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Meta Ads')]",4,False,0.0,0,Programmatic Display,Meta Ads
75,[np.str_('Meta Ads')],1,True,2197.16,7,Meta Ads,Meta Ads
76,[np.str_('YouTube')],1,False,0.0,1,YouTube,YouTube
77,"[np.str_('Google Search'), np.str_('Programmatic Display')]",2,False,0.0,7,Google Search,Programmatic Display
78,"[np.str_('YouTube'), np.str_('Meta Ads')]",2,False,0.0,3,YouTube,Meta Ads
79,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Affiliate')]",4,True,1242.47,0,YouTube,Affiliate
80,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Programmatic Display')]",3,False,0.0,1,Meta Ads,Programmatic Display
81,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Meta Ads'), np.str_('Programmatic Display')]",4,True,2870.53,3,YouTube,Programmatic Display
82,"[np.str_('YouTube'), np.str_('Google Search'), np.str_('Affiliate'), np.str_('YouTube'), np.str_('Affiliate')]",5,False,0.0,3,YouTube,Affiliate
83,"[np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Google Search')]",3,True,2802.21,14,Meta Ads,Google Search
84,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,True,1715.35,1,Meta Ads,Google Search
85,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Programmatic Display')]",3,False,0.0,3,YouTube,Programmatic Display
86,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,True,2536.46,7,Google Search,Meta Ads
87,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('YouTube'), np.str_('Affiliate'), np.str_('YouTube')]",5,True,1115.17,1,Meta Ads,YouTube
88,"[np.str_('Affiliate'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Affiliate')]",4,False,0.0,7,Affiliate,Affiliate
89,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search')]",4,False,0.0,7,Programmatic Display,Google Search
90,"[np.str_('Affiliate'), np.str_('Google Search'), np.str_('Google Search'), np.str_('Affiliate'), np.str_('YouTube')]",5,True,2067.02,0,Affiliate,YouTube
91,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Google Search'), np.str_('Affiliate')]",5,True,2563.01,3,Meta Ads,Affiliate
92,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Affiliate')]",3,False,0.0,14,Programmatic Display,Affiliate
93,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,3,YouTube,Google Search
94,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search')]",3,True,2091.32,1,YouTube,Google Search
95,"[np.str_('Affiliate'), np.str_('Google Search')]",2,False,0.0,7,Affiliate,Google Search
96,"[np.str_('Meta Ads'), np.str_('YouTube')]",2,False,0.0,0,Meta Ads,YouTube
97,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('YouTube'), np.str_('Programmatic Display')]",4,False,0.0,1,Programmatic Display,Programmatic Display
98,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search')]",3,True,1227.55,0,YouTube,Google Search
99,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('YouTube')]",3,False,0.0,7,YouTube,YouTube
100,[np.str_('YouTube')],1,True,1087.19,1,YouTube,YouTube
101,[np.str_('YouTube')],1,True,1583.32,1,YouTube,YouTube
102,"[np.str_('Programmatic Display'), np.str_('Meta Ads')]",2,True,2331.72,3,Programmatic Display,Meta Ads
103,[np.str_('Google Search')],1,False,0.0,0,Google Search,Google Search
104,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,True,1248.37,1,Google Search,Meta Ads
105,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,False,0.0,7,Meta Ads,Affiliate
106,[np.str_('YouTube')],1,False,0.0,14,YouTube,YouTube
107,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,False,0.0,3,Meta Ads,Google Search
108,"[np.str_('YouTube'), np.str_('Affiliate')]",2,True,1455.34,1,YouTube,Affiliate
109,"[np.str_('YouTube'), np.str_('YouTube')]",2,False,0.0,7,YouTube,YouTube
110,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,False,0.0,7,Programmatic Display,Affiliate
111,"[np.str_('YouTube'), np.str_('Google Search')]",2,True,2049.9,3,YouTube,Google Search
112,"[np.str_('Affiliate'), np.str_('Affiliate')]",2,True,1050.87,1,Affiliate,Affiliate
113,"[np.str_('YouTube'), np.str_('Google Search')]",2,True,1182.31,14,YouTube,Google Search
114,[np.str_('Programmatic Display')],1,False,0.0,30,Programmatic Display,Programmatic Display
115,[np.str_('Programmatic Display')],1,False,0.0,14,Programmatic Display,Programmatic Display
116,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('YouTube')]",4,False,0.0,3,YouTube,YouTube
117,"[np.str_('Google Search'), np.str_('Google Search')]",2,True,1645.1,3,Google Search,Google Search
118,"[np.str_('YouTube'), np.str_('Affiliate')]",2,True,1931.15,1,YouTube,Affiliate
119,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,True,1110.79,0,Meta Ads,Google Search
120,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Meta Ads')]",5,False,0.0,3,Programmatic Display,Meta Ads
121,"[np.str_('Programmatic Display'), np.str_('YouTube')]",2,False,0.0,30,Programmatic Display,YouTube
122,[np.str_('Meta Ads')],1,False,0.0,1,Meta Ads,Meta Ads
123,[np.str_('Meta Ads')],1,False,0.0,7,Meta Ads,Meta Ads
124,[np.str_('Google Search')],1,True,1078.22,1,Google Search,Google Search
125,"[np.str_('Meta Ads'), np.str_('YouTube'), np.str_('YouTube'), np.str_('YouTube')]",4,True,2713.39,3,Meta Ads,YouTube
126,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,False,0.0,3,Programmatic Display,Google Search
127,"[np.str_('Google Search'), np.str_('Affiliate')]",2,False,0.0,14,Google Search,Affiliate
128,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Affiliate')]",3,True,1202.64,7,YouTube,Affiliate
129,"[np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Meta Ads')]",3,True,1542.72,1,Meta Ads,Meta Ads
130,"[np.str_('YouTube'), np.str_('Google Search'), np.str_('Meta Ads')]",3,False,0.0,1,YouTube,Meta Ads
131,"[np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Affiliate')]",4,False,0.0,0,YouTube,Affiliate
132,"[np.str_('Meta Ads'), np.str_('Meta Ads')]",2,False,0.0,7,Meta Ads,Meta Ads
133,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Google Search')]",3,False,0.0,3,YouTube,Google Search
134,"[np.str_('Programmatic Display'), np.str_('Programmatic Display')]",2,True,1940.32,3,Programmatic Display,Programmatic Display
135,"[np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Programmatic Display')]",3,False,0.0,7,YouTube,Programmatic Display
136,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Affiliate')]",4,True,2544.42,14,Meta Ads,Affiliate
137,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Affiliate'), np.str_('YouTube')]",4,True,2933.13,14,Programmatic Display,YouTube
138,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,True,1479.42,7,Meta Ads,Affiliate
139,[np.str_('Programmatic Display')],1,False,0.0,3,Programmatic Display,Programmatic Display
140,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Google Search'), np.str_('Affiliate')]",4,True,1945.74,0,Programmatic Display,Affiliate
141,[np.str_('Programmatic Display')],1,False,0.0,14,Programmatic Display,Programmatic Display
142,"[np.str_('Meta Ads'), np.str_('Meta Ads')]",2,True,2082.25,1,Meta Ads,Meta Ads
143,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Affiliate'), np.str_('Affiliate')]",5,False,0.0,0,YouTube,Affiliate
144,"[np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Google Search')]",3,True,1000.08,3,YouTube,Google Search
145,"[np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Affiliate')]",3,False,0.0,3,YouTube,Affiliate
146,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,True,2446.24,14,Meta Ads,Google Search
147,"[np.str_('YouTube'), np.str_('Meta Ads')]",2,False,0.0,0,YouTube,Meta Ads
148,[np.str_('Meta Ads')],1,False,0.0,0,Meta Ads,Meta Ads
149,"[np.str_('YouTube'), np.str_('Meta Ads')]",2,True,1055.14,7,YouTube,Meta Ads
150,[np.str_('Meta Ads')],1,True,969.05,1,Meta Ads,Meta Ads
151,"[np.str_('Google Search'), np.str_('Programmatic Display'), np.str_('Affiliate')]",3,False,0.0,1,Google Search,Affiliate
152,"[np.str_('Google Search'), np.str_('Google Search')]",2,True,1245.68,0,Google Search,Google Search
153,[np.str_('Meta Ads')],1,False,0.0,14,Meta Ads,Meta Ads
154,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('YouTube'), np.str_('Affiliate')]",4,True,2307.71,3,Programmatic Display,Affiliate
155,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Programmatic Display')]",3,False,0.0,0,Programmatic Display,Programmatic Display
156,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Affiliate')]",4,True,1558.37,3,Programmatic Display,Affiliate
157,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('YouTube')]",3,False,0.0,3,YouTube,YouTube
158,[np.str_('YouTube')],1,True,2354.31,0,YouTube,YouTube
159,"[np.str_('YouTube'), np.str_('Google Search'), np.str_('Meta Ads')]",3,False,0.0,1,YouTube,Meta Ads
160,[np.str_('YouTube')],1,False,0.0,14,YouTube,YouTube
161,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Google Search')]",3,False,0.0,3,Meta Ads,Google Search
162,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,True,2219.03,0,Programmatic Display,Google Search
163,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Google Search')]",3,True,2345.96,1,YouTube,Google Search
164,"[np.str_('Programmatic Display'), np.str_('Google Search'), np.str_('Programmatic Display')]",3,False,0.0,1,Programmatic Display,Programmatic Display
165,[np.str_('YouTube')],1,False,0.0,0,YouTube,YouTube
166,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,False,0.0,0,Meta Ads,Google Search
167,[np.str_('Meta Ads')],1,False,0.0,7,Meta Ads,Meta Ads
168,"[np.str_('YouTube'), np.str_('YouTube')]",2,False,0.0,7,YouTube,YouTube
169,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,True,2548.19,0,Meta Ads,Affiliate
170,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Meta Ads')]",5,False,0.0,7,Programmatic Display,Meta Ads
171,"[np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,True,2875.68,14,Google Search,Affiliate
172,[np.str_('Meta Ads')],1,False,0.0,1,Meta Ads,Meta Ads
173,"[np.str_('Affiliate'), np.str_('Meta Ads'), np.str_('Meta Ads')]",3,True,2750.91,30,Affiliate,Meta Ads
174,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('YouTube')]",5,True,2394.03,1,Programmatic Display,YouTube
175,[np.str_('YouTube')],1,False,0.0,1,YouTube,YouTube
176,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Affiliate')]",3,False,0.0,1,YouTube,Affiliate
177,"[np.str_('Google Search'), np.str_('Google Search'), np.str_('Google Search')]",3,True,2643.83,0,Google Search,Google Search
178,"[np.str_('Programmatic Display'), np.str_('Affiliate'), np.str_('Programmatic Display'), np.str_('Programmatic Display')]",4,True,2609.23,3,Programmatic Display,Programmatic Display
179,"[np.str_('Meta Ads'), np.str_('YouTube')]",2,False,0.0,7,Meta Ads,YouTube
180,"[np.str_('Programmatic Display'), np.str_('Meta Ads')]",2,True,1066.83,1,Programmatic Display,Meta Ads
181,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,True,896.82,30,Programmatic Display,Google Search
182,"[np.str_('Programmatic Display'), np.str_('Meta Ads')]",2,True,2608.13,7,Programmatic Display,Meta Ads
183,[np.str_('Programmatic Display')],1,False,0.0,14,Programmatic Display,Programmatic Display
184,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,False,0.0,1,Meta Ads,Google Search
185,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Google Search')]",5,True,1474.37,7,Meta Ads,Google Search
186,"[np.str_('YouTube'), np.str_('Programmatic Display')]",2,False,0.0,14,YouTube,Programmatic Display
187,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Google Search'), np.str_('Google Search'), np.str_('Google Search')]",5,False,0.0,1,YouTube,Google Search
188,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,False,0.0,0,Meta Ads,Affiliate
189,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Programmatic Display')]",4,False,0.0,7,YouTube,Programmatic Display
190,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Affiliate')]",3,True,1440.23,7,Meta Ads,Affiliate
191,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,0,YouTube,Google Search
192,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Google Search'), np.str_('YouTube')]",4,True,2421.26,3,Programmatic Display,YouTube
193,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,False,0.0,14,Google Search,Meta Ads
194,"[np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Google Search'), np.str_('Meta Ads')]",4,False,0.0,7,Meta Ads,Meta Ads
195,[np.str_('Google Search')],1,False,0.0,0,Google Search,Google Search
196,"[np.str_('YouTube'), np.str_('YouTube'), np.str_('Google Search'), np.str_('Google Search')]",4,False,0.0,7,YouTube,Google Search
197,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,30,YouTube,Google Search
198,"[np.str_('YouTube'), np.str_('Google Search'), np.str_('Affiliate')]",3,False,0.0,0,YouTube,Affiliate
199,"[np.str_('Meta Ads'), np.str_('Affiliate'), np.str_('Google Search')]",3,False,0.0,14,Meta Ads,Google Search
200,[np.str_('Affiliate')],1,False,0.0,0,Affiliate,Affiliate
201,"[np.str_('Meta Ads'), np.str_('Google Search')]",2,False,0.0,1,Meta Ads,Google Search
202,"[np.str_('YouTube'), np.str_('Programmatic Display'), np.str_('Programmatic Display')]",3,False,0.0,7,YouTube,Programmatic Display
203,[np.str_('Google Search')],1,True,837.61,1,Google Search,Google Search
204,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,False,0.0,1,Google Search,Meta Ads
205,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Meta Ads')]",5,True,1240.86,7,Programmatic Display,Meta Ads
206,"[np.str_('YouTube'), np.str_('Affiliate'), np.str_('Google Search')]",3,True,2788.81,3,YouTube,Google Search
207,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Programmatic Display')]",3,False,0.0,14,Programmatic Display,Programmatic Display
208,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,1,YouTube,Google Search
209,"[np.str_('Programmatic Display'), np.str_('Affiliate'), np.str_('Meta Ads'), np.str_('YouTube')]",4,False,0.0,7,Programmatic Display,YouTube
210,"[np.str_('Google Search'), np.str_('Google Search'), np.str_('Meta Ads'), np.str_('Google Search')]",4,False,0.0,3,Google Search,Google Search
211,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search')]",3,False,0.0,3,Programmatic Display,Google Search
212,[np.str_('Programmatic Display')],1,True,1789.35,1,Programmatic Display,Programmatic Display
213,"[np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('Google Search')]",3,True,1702.0,3,Programmatic Display,Google Search
214,"[np.str_('Programmatic Display'), np.str_('Google Search'), np.str_('YouTube')]",3,False,0.0,0,Programmatic Display,YouTube
215,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,0,YouTube,Google Search
216,"[np.str_('Meta Ads'), np.str_('Meta Ads')]",2,False,0.0,0,Meta Ads,Meta Ads
217,"[np.str_('Programmatic Display'), np.str_('Google Search')]",2,True,924.96,0,Programmatic Display,Google Search
218,"[np.str_('YouTube'), np.str_('Affiliate')]",2,False,0.0,7,YouTube,Affiliate
219,[np.str_('YouTube')],1,True,1881.93,7,YouTube,YouTube
220,[np.str_('Affiliate')],1,True,1720.2,7,Affiliate,Affiliate
221,"[np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('YouTube'), np.str_('YouTube')]",4,True,2878.27,3,Meta Ads,YouTube
222,"[np.str_('Programmatic Display'), np.str_('Google Search'), np.str_('YouTube'), np.str_('Meta Ads')]",4,True,1119.22,1,Programmatic Display,Meta Ads
223,[np.str_('Google Search')],1,True,2458.97,1,Google Search,Google Search
224,[np.str_('Google Search')],1,False,0.0,3,Google Search,Google Search
225,"[np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Programmatic Display')]",3,False,0.0,7,Meta Ads,Programmatic Display
226,[np.str_('Meta Ads')],1,True,852.11,1,Meta Ads,Meta Ads
227,"[np.str_('Google Search'), np.str_('Meta Ads')]",2,False,0.0,3,Google Search,Meta Ads
228,"[np.str_('Programmatic Display'), np.str_('Programmatic Display')]",2,True,2455.87,3,Programmatic Display,Programmatic Display
229,"[np.str_('Meta Ads'), np.str_('Affiliate')]",2,False,0.0,14,Meta Ads,Affiliate
230,"[np.str_('YouTube'), np.str_('Affiliate')]",2,False,0.0,1,YouTube,Affiliate
231,"[np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Google Search')]",3,False,0.0,14,Meta Ads,Google Search
232,[np.str_('YouTube')],1,False,0.0,1,YouTube,YouTube
233,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Programmatic Display'), np.str_('Affiliate')]",4,True,1749.26,3,Programmatic Display,Affiliate
234,[np.str_('Programmatic Display')],1,False,0.0,1,Programmatic Display,Programmatic Display
235,"[np.str_('Programmatic Display'), np.str_('Programmatic Display'), np.str_('Google Search')]",3,False,0.0,3,Programmatic Display,Google Search
236,"[np.str_('YouTube'), np.str_('Google Search')]",2,False,0.0,1,YouTube,Google Search
237,"[np.str_('Programmatic Display'), np.str_('Meta Ads'), np.str_('Google Search'), np.str_('Meta Ads')]",4,True,1345.34,0,Programmatic Display,Meta Ads
238,"[np.str_('Meta Ads'), np.str_('YouTube'), np.str_('YouTube')]",3,False,0.0,3,Meta Ads,YouTube
239,"[np.str_('YouTube'), np.str_('Meta Ads'), np.str_('Meta Ads'), np.str_('Google Search')]",4,False,0.0,14,YouTube,Google Search
240,[np.str_('YouTube')],1,False,0.0,14,YouTube,YouTube
