date,channel,spend,impressions,clicks,conversions,revenue,ctr,cvr,cpc,roas,cost_per_conversion,seasonality_factor,day_of_week,month,year,week_number,is_weekend,anomaly_type
2023-01-12,YouTube,2057.25,9257,174,2,1835.83,0.0188,0.01149,11.82,0.892,1028.63,0.8,Thursday,1,2023,2,0,None
2023-01-12,Affiliate,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Thursday,1,2023,2,0,Zero Traffic
2023-01-13,Google Search,3579.48,1749,126,4,4003.52,0.07204,0.03175,28.41,1.118,894.87,0.8,Friday,1,2023,2,0,None
2023-01-13,Meta Ads,3977.59,7813,288,8,17327.34,0.03686,0.02778,13.81,4.356,497.2,0.8,Friday,1,2023,2,0,None
2023-01-13,Programmatic Display,2107.84,49183,391,3,4297.29,0.00795,0.00767,5.39,2.039,702.61,0.8,Friday,1,2023,2,0,None
2023-01-13,YouTube,2355.54,10599,203,4,6117.16,0.01915,0.0197,11.6,2.597,588.89,0.8,Friday,1,2023,2,0,None
2023-01-13,Affiliate,1666.35,66654,2343,171,229838.42,0.03515,0.07298,0.71,137.929,9.74,0.8,Friday,1,2023,2,0,None
2023-01-14,Google Search,4793.12,2343,94,5,4775.94,0.04012,0.05319,50.99,0.996,958.62,0.8,Saturday,1,2023,2,1,None
2023-01-14,Meta Ads,2705.9,5315,118,2,3886.56,0.0222,0.01695,22.93,1.436,1352.95,0.8,Saturday,1,2023,2,1,None
2023-01-14,Programmatic Display,2303.44,53747,373,2,3281.03,0.00694,0.00536,6.18,1.424,1151.72,0.8,Saturday,1,2023,2,1,None
2023-01-14,YouTube,902.51,4061,49,0,0.0,0.01207,0.0,18.42,0.0,0.0,0.8,Saturday,1,2023,2,1,None
2023-01-14,Affiliate,824.93,32997,1271,55,51863.99,0.03852,0.04327,0.65,62.871,15.0,0.8,Saturday,1,2023,2,1,None
2023-01-15,Google Search,3720.43,1818,144,5,7150.46,0.07921,0.03472,25.84,1.922,744.09,0.8,Sunday,1,2023,2,1,None
2023-01-15,Meta Ads,3080.84,6051,239,7,10077.49,0.0395,0.02929,12.89,3.271,440.12,0.8,Sunday,1,2023,2,1,None
2023-01-15,Programmatic Display,1232.39,28755,216,1,1637.46,0.00751,0.00463,5.71,1.329,1232.39,0.8,Sunday,1,2023,2,1,None
2023-01-15,YouTube,915.62,4120,35,0,0.0,0.0085,0.0,26.16,0.0,0.0,0.8,Sunday,1,2023,2,1,None
2023-01-15,Affiliate,700.59,28023,1369,75,96428.29,0.04885,0.05478,0.51,137.639,9.34,0.8,Sunday,1,2023,2,1,None
2023-01-16,Google Search,6209.99,3035,238,7,17141.56,0.07842,0.02941,26.09,2.76,887.14,0.8,Monday,1,2023,3,0,None
2023-01-16,Meta Ads,2512.3,4934,83,2,4895.63,0.01682,0.0241,30.27,1.949,1256.15,0.8,Monday,1,2023,3,0,None
2023-01-16,Programmatic Display,2556.79,59658,386,3,5600.55,0.00647,0.00777,6.62,2.19,852.26,0.8,Monday,1,2023,3,0,None
2023-01-16,YouTube,2123.06,9553,108,1,1588.29,0.01131,0.00926,19.66,0.748,2123.06,0.8,Monday,1,2023,3,0,None
2023-01-16,Affiliate,1283.77,51350,1146,90,222890.24,0.02232,0.07853,1.12,173.621,14.26,0.8,Monday,1,2023,3,0,None
2023-01-17,Google Search,4914.42,2402,161,5,11742.88,0.06703,0.03106,30.52,2.389,982.88,0.8,Tuesday,1,2023,3,0,None
2023-01-17,Meta Ads,4453.36,8747,289,7,10577.09,0.03304,0.02422,15.41,2.375,636.19,0.8,Tuesday,1,2023,3,0,None
2023-01-17,Programmatic Display,3080.98,71889,570,3,5430.07,0.00793,0.00526,5.41,1.762,1026.99,0.8,Tuesday,1,2023,3,0,None
2023-01-17,YouTube,1783.89,8027,145,3,4790.34,0.01806,0.02069,12.3,2.685,594.63,0.8,Tuesday,1,2023,3,0,None
2023-01-17,Affiliate,1290.73,51629,2291,183,456453.72,0.04437,0.07988,0.56,353.639,7.05,0.8,Tuesday,1,2023,3,0,None
2023-01-18,Google Search,4963.57,2426,188,10,12204.92,0.07749,0.05319,26.4,2.459,496.36,0.8,Wednesday,1,2023,3,0,None
2023-01-18,Meta Ads,3243.08,6370,193,4,3972.19,0.0303,0.02073,16.8,1.225,810.77,0.8,Wednesday,1,2023,3,0,None
2023-01-18,Programmatic Display,2746.13,64076,439,4,8994.83,0.00685,0.00911,6.26,3.275,686.53,0.8,Wednesday,1,2023,3,0,None
2023-01-18,YouTube,2189.97,9854,94,0,0.0,0.00954,0.0,23.3,0.0,0.0,0.8,Wednesday,1,2023,3,0,None
2023-01-18,Affiliate,1720.33,68813,2829,137,141360.92,0.04111,0.04843,0.61,82.171,12.56,0.8,Wednesday,1,2023,3,0,None
2023-01-19,Google Search,3418.35,1671,96,5,6960.17,0.05745,0.05208,35.61,2.036,683.67,0.8,Thursday,1,2023,3,0,None
2023-01-19,Meta Ads,3314.05,6509,162,4,9064.07,0.02489,0.02469,20.46,2.735,828.51,0.8,Thursday,1,2023,3,0,None
2023-01-19,Programmatic Display,2853.57,66583,526,5,6794.39,0.0079,0.00951,5.43,2.381,570.71,0.8,Thursday,1,2023,3,0,None
2023-01-19,YouTube,2207.29,9932,88,1,1017.68,0.00886,0.01136,25.08,0.461,2207.29,0.8,Thursday,1,2023,3,0,None
2023-01-19,Affiliate,1000.29,40011,1215,92,147727.6,0.03037,0.07572,0.82,147.685,10.87,0.8,Thursday,1,2023,3,0,None
2023-01-20,Google Search,5085.42,2486,118,3,3261.57,0.04747,0.02542,43.1,0.641,1695.14,0.8,Friday,1,2023,3,0,None
2023-01-20,Meta Ads,3052.2,5995,144,3,5921.01,0.02402,0.02083,21.2,1.94,1017.4,0.8,Friday,1,2023,3,0,None
2023-01-20,Programmatic Display,1576.82,36792,225,1,2285.08,0.00612,0.00444,7.01,1.449,1576.82,0.8,Friday,1,2023,3,0,None
2023-01-20,YouTube,2658.38,11962,203,2,2311.79,0.01697,0.00985,13.1,0.87,1329.19,0.8,Friday,1,2023,3,0,None
2023-01-20,Affiliate,1230.82,49232,1897,103,163389.83,0.03853,0.0543,0.65,132.749,11.95,0.8,Friday,1,2023,3,0,None
2023-01-21,Google Search,4487.43,2193,134,4,6242.4,0.0611,0.02985,33.49,1.391,1121.86,0.8,Saturday,1,2023,3,1,None
2023-01-21,Meta Ads,2913.71,5723,124,2,1668.24,0.02167,0.01613,23.5,0.573,1456.85,0.8,Saturday,1,2023,3,1,None
2023-01-21,Programmatic Display,1596.61,37254,277,3,5863.42,0.00744,0.01083,5.76,3.672,532.2,0.8,Saturday,1,2023,3,1,None
2023-01-21,YouTube,1817.01,8176,73,1,1797.63,0.00893,0.0137,24.89,0.989,1817.01,0.8,Saturday,1,2023,3,1,None
2023-01-21,Affiliate,1253.18,50127,1548,101,178802.63,0.03088,0.06525,0.81,142.679,12.41,0.8,Saturday,1,2023,3,1,None
2023-01-22,Google Search,3008.75,1470,94,3,2919.09,0.06395,0.03191,32.01,0.97,1002.92,0.8,Sunday,1,2023,3,1,None
2023-01-22,Meta Ads,1873.8,3680,81,1,2324.5,0.02201,0.01235,23.13,1.241,1873.8,0.8,Sunday,1,2023,3,1,None
2023-01-22,Programmatic Display,1180.39,27542,139,2,1980.93,0.00505,0.01439,8.49,1.678,590.2,0.8,Sunday,1,2023,3,1,None
2023-01-22,YouTube,1248.52,5618,90,2,3492.99,0.01602,0.02222,13.87,2.798,624.26,0.8,Sunday,1,2023,3,1,None
2023-01-22,Affiliate,1079.44,43177,1860,88,118822.41,0.04308,0.04731,0.58,110.078,12.27,0.8,Sunday,1,2023,3,1,None
2023-01-23,Google Search,4190.2,2048,131,5,8940.52,0.06396,0.03817,31.99,2.134,838.04,0.8,Monday,1,2023,4,0,None
2023-01-23,Meta Ads,2777.13,5455,154,2,2744.45,0.02823,0.01299,18.03,0.988,1388.57,0.8,Monday,1,2023,4,0,None
2023-01-23,Programmatic Display,1906.39,44482,285,3,5437.76,0.00641,0.01053,6.69,2.852,635.46,0.8,Monday,1,2023,4,0,None
2023-01-23,YouTube,1898.14,8541,104,2,4424.11,0.01218,0.01923,18.25,2.331,949.07,0.8,Monday,1,2023,4,0,None
2023-01-23,Affiliate,1994.37,79774,2029,86,177151.84,0.02543,0.04239,0.98,88.826,23.19,0.8,Monday,1,2023,4,0,None
2023-01-24,Google Search,4886.16,2388,108,5,5713.83,0.04523,0.0463,45.24,1.169,977.23,0.8,Tuesday,1,2023,4,0,None
2023-01-24,Meta Ads,2847.86,5594,157,3,6873.72,0.02807,0.01911,18.14,2.414,949.29,0.8,Tuesday,1,2023,4,0,None
2023-01-24,Programmatic Display,2181.02,50890,264,2,3173.11,0.00519,0.00758,8.26,1.455,1090.51,0.8,Tuesday,1,2023,4,0,None
2023-01-24,YouTube,1683.75,7576,142,2,3448.08,0.01874,0.01408,11.86,2.048,841.88,0.8,Tuesday,1,2023,4,0,None
2023-01-24,Affiliate,2046.0,81840,1923,149,278198.45,0.0235,0.07748,1.06,135.972,13.73,0.8,Tuesday,1,2023,4,0,None
2023-01-25,Google Search,4344.0,2123,130,7,14984.31,0.06123,0.05385,33.42,3.449,620.57,0.8,Wednesday,1,2023,4,0,None
2023-01-25,Meta Ads,2706.63,5316,112,3,2571.02,0.02107,0.02679,24.17,0.95,902.21,0.8,Wednesday,1,2023,4,0,None
2023-01-25,Programmatic Display,2571.98,60012,426,2,4477.94,0.0071,0.00469,6.04,1.741,1285.99,0.8,Wednesday,1,2023,4,0,None
2023-01-25,YouTube,1427.4,6423,112,1,1189.73,0.01744,0.00893,12.74,0.833,1427.4,0.8,Wednesday,1,2023,4,0,None
2023-01-25,Affiliate,1739.17,69566,2523,126,174848.08,0.03627,0.04994,0.69,100.535,13.8,0.8,Wednesday,1,2023,4,0,None
2023-01-26,Google Search,4037.4,1973,124,5,7927.05,0.06285,0.04032,32.56,1.963,807.48,0.8,Thursday,1,2023,4,0,None
2023-01-26,Meta Ads,4738.9,9308,281,4,9130.44,0.03019,0.01423,16.86,1.927,1184.73,0.8,Thursday,1,2023,4,0,None
2023-01-26,Programmatic Display,2917.42,68073,441,6,12013.83,0.00648,0.01361,6.62,4.118,486.24,0.8,Thursday,1,2023,4,0,None
2023-01-26,YouTube,1579.95,7109,119,2,4746.93,0.01674,0.01681,13.28,3.004,789.98,0.8,Thursday,1,2023,4,0,None
2023-01-26,Affiliate,1431.22,57248,2836,208,210480.72,0.04954,0.07334,0.5,147.064,6.88,0.8,Thursday,1,2023,4,0,None
2023-01-27,Google Search,6163.82,3013,168,5,6849.18,0.05576,0.02976,36.69,1.111,1232.76,0.8,Friday,1,2023,4,0,None
2023-01-27,Meta Ads,13691.84,26894,671,17,40183.83,0.02495,0.02534,20.41,2.935,805.4,0.8,Friday,1,2023,4,0,Budget Spike
2023-01-27,Programmatic Display,2290.96,53455,220,2,2078.91,0.00412,0.00909,10.41,0.907,1145.48,0.8,Friday,1,2023,4,0,None
2023-01-27,YouTube,1421.56,6397,83,1,1416.07,0.01297,0.01205,17.13,0.996,1421.56,0.8,Friday,1,2023,4,0,None
2023-01-27,Affiliate,1420.58,56823,1389,78,73717.37,0.02444,0.05616,1.02,51.892,18.21,0.8,Friday,1,2023,4,0,None
2023-01-28,Google Search,5112.96,2499,159,5,10374.66,0.06363,0.03145,32.16,2.029,1022.59,0.8,Saturday,1,2023,4,1,None
2023-01-28,Meta Ads,2251.94,4423,70,1,1760.23,0.01583,0.01429,32.17,0.782,2251.94,0.8,Saturday,1,2023,4,1,None
2023-01-28,Programmatic Display,1340.31,31274,164,1,1549.3,0.00524,0.0061,8.17,1.156,1340.31,0.8,Saturday,1,2023,4,1,None
2023-01-28,YouTube,1351.6,6082,111,2,2869.25,0.01825,0.01802,12.18,2.123,675.8,0.8,Saturday,1,2023,4,1,None
2023-01-28,Affiliate,886.35,35454,1143,46,49011.13,0.03224,0.04024,0.78,55.295,19.27,0.8,Saturday,1,2023,4,1,None
2023-01-29,Google Search,3826.63,1870,92,4,3334.03,0.0492,0.04348,41.59,0.871,956.66,0.8,Sunday,1,2023,4,1,None
2023-01-29,Meta Ads,1857.68,3649,71,1,1204.91,0.01946,0.01408,26.16,0.649,1857.68,0.8,Sunday,1,2023,4,1,None
2023-01-29,Programmatic Display,1281.48,29901,213,1,1935.74,0.00712,0.00469,6.02,1.511,1281.48,0.8,Sunday,1,2023,4,1,None
2023-01-29,YouTube,1019.29,4586,86,0,0.0,0.01875,0.0,11.85,0.0,0.0,0.8,Sunday,1,2023,4,1,None
2023-01-29,Affiliate,642.13,25685,1201,87,120154.79,0.04676,0.07244,0.53,187.119,7.38,0.8,Sunday,1,2023,4,1,None
2023-01-30,Google Search,3778.05,1847,117,4,7444.21,0.06335,0.03419,32.29,1.97,944.51,0.8,Monday,1,2023,5,0,None
2023-01-30,Meta Ads,3030.47,5952,230,6,6229.15,0.03864,0.02609,13.18,2.056,505.08,0.8,Monday,1,2023,5,0,None
2023-01-30,Programmatic Display,3243.13,75673,565,7,10660.04,0.00747,0.01239,5.74,3.287,463.3,0.8,Monday,1,2023,5,0,None
2023-01-30,YouTube,1254.97,5647,62,0,0.0,0.01098,0.0,20.24,0.0,0.0,0.8,Monday,1,2023,5,0,None
2023-01-30,Affiliate,1647.84,65913,2357,110,138921.47,0.03576,0.04667,0.7,84.305,14.98,0.8,Monday,1,2023,5,0,None
2023-01-31,Google Search,2993.32,1463,96,5,5754.58,0.06562,0.05208,31.18,1.922,598.66,0.8,Tuesday,1,2023,5,0,None
2023-01-31,Meta Ads,2493.34,4897,183,5,9078.01,0.03737,0.02732,13.62,3.641,498.67,0.8,Tuesday,1,2023,5,0,None
2023-01-31,Programmatic Display,2432.3,56753,289,2,3364.32,0.00509,0.00692,8.42,1.383,1216.15,0.8,Tuesday,1,2023,5,0,None
2023-01-31,YouTube,1307.68,5884,99,1,1825.36,0.01683,0.0101,13.21,1.396,1307.68,0.8,Tuesday,1,2023,5,0,None
2023-01-31,Affiliate,1011.02,40440,1681,87,153371.25,0.04157,0.05175,0.6,151.699,11.62,0.8,Tuesday,1,2023,5,0,None
2023-02-01,Google Search,4648.17,2272,176,9,10488.59,0.07746,0.05114,26.41,2.257,516.46,0.82,Wednesday,2,2023,5,0,None
2023-02-01,Meta Ads,2613.77,5134,140,3,4104.64,0.02727,0.02143,18.67,1.57,871.26,0.82,Wednesday,2,2023,5,0,None
2023-02-01,Programmatic Display,2683.69,62619,211,2,3284.67,0.00337,0.00948,12.72,1.224,1341.84,0.82,Wednesday,2,2023,5,0,None
2023-02-01,YouTube,2175.22,9788,172,3,3787.94,0.01757,0.01744,12.65,1.741,725.07,0.82,Wednesday,2,2023,5,0,None
2023-02-01,Affiliate,1515.03,60601,1378,105,108422.13,0.02274,0.0762,1.1,71.564,14.43,0.82,Wednesday,2,2023,5,0,None
2023-02-02,Google Search,5974.8,2921,218,11,23882.69,0.07463,0.05046,27.41,3.997,543.16,0.82,Thursday,2,2023,5,0,None
2023-02-02,Meta Ads,4034.45,7924,287,5,8160.11,0.03622,0.01742,14.06,2.023,806.89,0.82,Thursday,2,2023,5,0,None
2023-02-02,Programmatic Display,2084.75,48644,315,2,4742.95,0.00648,0.00635,6.62,2.275,1042.37,0.82,Thursday,2,2023,5,0,None
2023-02-02,YouTube,2841.43,12786,175,4,8942.94,0.01369,0.02286,16.24,3.147,710.36,0.82,Thursday,2,2023,5,0,None
2023-02-02,Affiliate,1127.31,45092,1005,68,93689.55,0.02229,0.06766,1.12,83.109,16.58,0.82,Thursday,2,2023,5,0,None
2023-02-03,Google Search,5798.96,2835,149,6,12865.38,0.05256,0.04027,38.92,2.219,966.49,0.82,Friday,2,2023,5,0,None
2023-02-03,Meta Ads,3384.89,6648,138,2,4558.34,0.02076,0.01449,24.53,1.347,1692.44,0.82,Friday,2,2023,5,0,None
2023-02-03,Programmatic Display,1698.58,39633,223,3,6473.79,0.00563,0.01345,7.62,3.811,566.19,0.82,Friday,2,2023,5,0,None
2023-02-03,YouTube,3041.93,13688,188,3,6855.75,0.01373,0.01596,16.18,2.254,1013.98,0.82,Friday,2,2023,5,0,None
2023-02-03,Affiliate,1961.04,78441,2551,145,297814.04,0.03252,0.05684,0.77,151.865,13.52,0.82,Friday,2,2023,5,0,None
2023-02-04,Google Search,3121.69,1526,79,2,1743.12,0.05177,0.02532,39.52,0.558,1560.85,0.82,Saturday,2,2023,5,1,None
2023-02-04,Meta Ads,1874.51,3682,94,2,3910.8,0.02553,0.02128,19.94,2.086,937.25,0.82,Saturday,2,2023,5,1,None
2023-02-04,Programmatic Display,1545.48,36061,278,2,3685.6,0.00771,0.00719,5.56,2.385,772.74,0.82,Saturday,2,2023,5,1,None
2023-02-04,YouTube,1124.65,5060,54,1,1904.4,0.01067,0.01852,20.83,1.693,1124.65,0.82,Saturday,2,2023,5,1,None
2023-02-04,Affiliate,1126.69,45067,1199,56,119016.44,0.0266,0.04671,0.94,105.634,20.12,0.82,Saturday,2,2023,5,1,None
2023-02-05,Google Search,3111.35,1521,119,6,14263.07,0.07824,0.05042,26.15,4.584,518.56,0.82,Sunday,2,2023,5,1,None
2023-02-05,Meta Ads,3371.1,6621,214,3,6560.75,0.03232,0.01402,15.75,1.946,1123.7,0.82,Sunday,2,2023,5,1,None
2023-02-05,Programmatic Display,1323.18,30874,175,1,1786.15,0.00567,0.00571,7.56,1.35,1323.18,0.82,Sunday,2,2023,5,1,None
2023-02-05,YouTube,948.52,4268,79,1,2265.62,0.01851,0.01266,12.01,2.389,948.52,0.82,Sunday,2,2023,5,1,None
2023-02-05,Affiliate,1308.09,52323,1911,83,124032.75,0.03652,0.04343,0.68,94.819,15.76,0.82,Sunday,2,2023,5,1,None
2023-02-06,Google Search,4701.45,2298,99,3,5884.62,0.04308,0.0303,47.49,1.252,1567.15,0.82,Monday,2,2023,6,0,None
2023-02-06,Meta Ads,2521.45,4952,135,3,5421.28,0.02726,0.02222,18.68,2.15,840.48,0.82,Monday,2,2023,6,0,None
2023-02-06,Programmatic Display,3190.56,74446,322,4,8622.5,0.00433,0.01242,9.91,2.703,797.64,0.82,Monday,2,2023,6,0,None
2023-02-06,YouTube,2179.14,9806,180,3,6668.77,0.01836,0.01667,12.11,3.06,726.38,0.82,Monday,2,2023,6,0,None
2023-02-06,Affiliate,1762.5,70499,1745,131,298959.55,0.02475,0.07507,1.01,169.623,13.45,0.82,Monday,2,2023,6,0,None
2023-02-07,Google Search,3634.47,1776,80,3,6191.89,0.04505,0.0375,45.43,1.704,1211.49,0.82,Tuesday,2,2023,6,0,None
2023-02-07,Meta Ads,2915.18,5726,86,1,1848.78,0.01502,0.01163,33.9,0.634,2915.18,0.82,Tuesday,2,2023,6,0,None
2023-02-07,Programmatic Display,3314.2,77331,332,3,5153.93,0.00429,0.00904,9.98,1.555,1104.73,0.82,Tuesday,2,2023,6,0,None
2023-02-07,YouTube,2542.39,11440,223,3,5626.37,0.01949,0.01345,11.4,2.213,847.46,0.82,Tuesday,2,2023,6,0,None
2023-02-07,Affiliate,1926.93,77077,3708,250,228830.75,0.04811,0.06742,0.52,118.754,7.71,0.82,Tuesday,2,2023,6,0,None
